time,open,high,low,close,tick_volume
2023-09-13 17:00:00,1.07383,1.07424,1.07266,1.07376,11476
2023-09-13 18:00:00,1.07376,1.07444,1.07309,1.07354,5867
2023-09-13 19:00:00,1.07354,1.07462,1.07344,1.07402,4666
2023-09-13 20:00:00,1.07402,1.07488,1.07369,1.07442,4099
2023-09-13 21:00:00,1.07443,1.07457,1.0731600000000001,1.0731600000000001,2780
2023-09-13 22:00:00,1.0731600000000001,1.07321,1.07275,1.07314,2924
2023-09-13 23:00:00,1.07315,1.0731600000000001,1.07285,1.07285,1929
2023-09-14 00:00:00,1.07272,1.07301,1.07269,1.07284,1845
2023-09-14 01:00:00,1.07286,1.0734,1.07285,1.07326,1461
2023-09-14 02:00:00,1.07326,1.07343,1.07301,1.07325,902
2023-09-14 03:00:00,1.07324,1.0742,1.07297,1.07396,2103
2023-09-14 04:00:00,1.07397,1.07429,1.0735,1.07368,3439
2023-09-14 05:00:00,1.07368,1.07401,1.07313,1.07401,2167
2023-09-14 06:00:00,1.07401,1.07462,1.07401,1.07442,1770
2023-09-14 07:00:00,1.07442,1.07484,1.0743800000000001,1.07467,1519
2023-09-14 08:00:00,1.07467,1.07518,1.07459,1.07474,2315
2023-09-14 09:00:00,1.07474,1.07483,1.07403,1.07425,2996
2023-09-14 10:00:00,1.07425,1.07428,1.07327,1.07333,4905
2023-09-14 11:00:00,1.07333,1.07398,1.07318,1.07335,4826
2023-09-14 12:00:00,1.07335,1.07369,1.07241,1.07281,3645
2023-09-14 13:00:00,1.07281,1.0737,1.0727,1.07347,4251
2023-09-14 14:00:00,1.07347,1.07372,1.07285,1.0729899999999999,3998
2023-09-14 15:00:00,1.0729899999999999,1.07459,1.06548,1.06765,33027
2023-09-14 16:00:00,1.06765,1.0697,1.06603,1.0664,25585
2023-09-14 17:00:00,1.0664,1.06735,1.06536,1.06636,14074
2023-09-14 18:00:00,1.06636,1.06752,1.06559,1.06583,7251
2023-09-14 19:00:00,1.06584,1.06627,1.06448,1.06481,5435
2023-09-14 20:00:00,1.06481,1.06503,1.06314,1.06363,3615
2023-09-14 21:00:00,1.06363,1.064,1.0633,1.06343,2874
2023-09-14 22:00:00,1.06343,1.06439,1.0634,1.06423,3438
2023-09-14 23:00:00,1.06422,1.06464,1.06413,1.06422,2155
2023-09-15 00:00:00,1.06404,1.06421,1.06398,1.06416,333
2023-09-15 01:00:00,1.06416,1.06434,1.06386,1.06421,1019
2023-09-15 02:00:00,1.06421,1.06421,1.06345,1.06347,1112
2023-09-15 03:00:00,1.06346,1.06433,1.06339,1.06419,2759
2023-09-15 04:00:00,1.0642,1.0643,1.06329,1.06391,2702
2023-09-15 05:00:00,1.06391,1.0648,1.06391,1.06427,3050
2023-09-15 06:00:00,1.0642800000000001,1.06475,1.06412,1.06471,1854
2023-09-15 07:00:00,1.06471,1.06531,1.06441,1.0653,1530
2023-09-15 08:00:00,1.0653,1.0656,1.06485,1.06559,2674
2023-09-15 09:00:00,1.06559,1.06671,1.06516,1.06602,5474
2023-09-15 10:00:00,1.06602,1.06651,1.06494,1.06632,6600
2023-09-15 11:00:00,1.06632,1.06683,1.06613,1.06653,4681
2023-09-15 12:00:00,1.06653,1.06689,1.06603,1.06624,3507
2023-09-15 13:00:00,1.06625,1.0668,1.06537,1.06558,3309
2023-09-15 14:00:00,1.06558,1.06591,1.06526,1.06542,3646
2023-09-15 15:00:00,1.06542,1.06615,1.06447,1.06501,7960
2023-09-15 16:00:00,1.065,1.06674,1.06493,1.06614,9158
2023-09-15 17:00:00,1.06614,1.06874,1.06613,1.06638,15249
2023-09-15 18:00:00,1.06638,1.06761,1.06614,1.06718,7661
2023-09-15 19:00:00,1.06719,1.06798,1.06698,1.06718,3708
2023-09-15 20:00:00,1.06719,1.0676,1.06679,1.06713,2955
2023-09-15 21:00:00,1.06714,1.06714,1.06602,1.06602,2061
2023-09-15 22:00:00,1.06603,1.06633,1.06593,1.0659399999999999,2355
2023-09-15 23:00:00,1.0659399999999999,1.06624,1.06567,1.06583,2038
2023-09-18 00:00:00,1.06601,1.06627,1.06601,1.06622,352
2023-09-18 01:00:00,1.06622,1.06688,1.0662,1.06637,917
2023-09-18 02:00:00,1.06637,1.06681,1.06621,1.06675,963
2023-09-18 03:00:00,1.06676,1.06714,1.06671,1.06711,1515
2023-09-18 04:00:00,1.06711,1.06734,1.06606,1.0662,2451
2023-09-18 05:00:00,1.0662,1.06679,1.06617,1.0665,1779
2023-09-18 06:00:00,1.0665,1.06682,1.06632,1.06638,1062
2023-09-18 07:00:00,1.06638,1.0669,1.06626,1.06683,875
2023-09-18 08:00:00,1.06684,1.06726,1.06678,1.06683,1527
2023-09-18 09:00:00,1.06683,1.06774,1.06581,1.06581,4173
2023-09-18 10:00:00,1.06581,1.0665499999999999,1.06575,1.06618,5027
2023-09-18 11:00:00,1.06618,1.06652,1.06559,1.06636,3796
2023-09-18 12:00:00,1.06636,1.06736,1.06616,1.06724,3617
2023-09-18 13:00:00,1.06724,1.06744,1.06667,1.06674,3084
2023-09-18 14:00:00,1.06675,1.06699,1.06618,1.06628,2887
2023-09-18 15:00:00,1.06628,1.06687,1.06556,1.06565,5532
2023-09-18 16:00:00,1.06565,1.0671,1.06543,1.06617,7301
2023-09-18 17:00:00,1.06618,1.06751,1.06591,1.06747,7258
2023-09-18 18:00:00,1.06747,1.06983,1.06737,1.06936,5237
2023-09-18 19:00:00,1.06936,1.0695000000000001,1.0684,1.06917,3082
2023-09-18 20:00:00,1.06918,1.06977,1.06866,1.06867,2343
2023-09-18 21:00:00,1.06867,1.06871,1.06775,1.06778,2032
2023-09-18 22:00:00,1.06778,1.06865,1.0677699999999999,1.06863,2414
2023-09-18 23:00:00,1.06862,1.06917,1.06858,1.06903,1019
2023-09-19 00:00:00,1.06878,1.06923,1.06853,1.06906,1406
2023-09-19 01:00:00,1.06906,1.06924,1.06886,1.0691,823
2023-09-19 02:00:00,1.0691,1.06935,1.06909,1.06916,669
2023-09-19 03:00:00,1.06916,1.06962,1.06876,1.0688,1860
2023-09-19 04:00:00,1.06881,1.06892,1.06805,1.06833,1964
2023-09-19 05:00:00,1.06834,1.06873,1.06817,1.06841,1313
2023-09-19 06:00:00,1.06842,1.06853,1.06821,1.06822,983
2023-09-19 07:00:00,1.06822,1.06848,1.06785,1.06796,1091
2023-09-19 08:00:00,1.06797,1.06818,1.06758,1.06791,1758
2023-09-19 09:00:00,1.06791,1.06834,1.06759,1.06783,3615
2023-09-19 10:00:00,1.06783,1.06949,1.06747,1.0694,5710
2023-09-19 11:00:00,1.0694,1.0694,1.06836,1.06862,4074
2023-09-19 12:00:00,1.06862,1.06904,1.06817,1.06886,3414
2023-09-19 13:00:00,1.06887,1.07093,1.06862,1.07,3974
2023-09-19 14:00:00,1.07,1.07093,1.0699,1.07085,4607
2023-09-19 15:00:00,1.07084,1.07176,1.06937,1.06992,7449
2023-09-19 16:00:00,1.06992,1.07009,1.06827,1.06912,9724
2023-09-19 17:00:00,1.06913,1.0693,1.0682,1.06891,7302
2023-09-19 18:00:00,1.06891,1.06925,1.06796,1.06827,4368
2023-09-19 19:00:00,1.06827,1.06859,1.06779,1.06843,2961
2023-09-19 20:00:00,1.06843,1.06913,1.06818,1.06843,2829
2023-09-19 21:00:00,1.06843,1.0685,1.06767,1.06771,2751
2023-09-19 22:00:00,1.06771,1.06807,1.06758,1.06801,2353
2023-09-19 23:00:00,1.06802,1.06809,1.06781,1.06786,1351
2023-09-20 00:00:00,1.06771,1.06788,1.06765,1.06786,696
2023-09-20 01:00:00,1.06788,1.06825,1.06771,1.06818,925
2023-09-20 02:00:00,1.06818,1.06832,1.06805,1.0681,734
2023-09-20 03:00:00,1.0681,1.06856,1.0679,1.06845,1657
2023-09-20 04:00:00,1.06845,1.06871,1.06796,1.06859,2002
2023-09-20 05:00:00,1.06859,1.06893,1.06824,1.06826,1494
2023-09-20 06:00:00,1.06826,1.0683799999999999,1.06778,1.06791,1270
2023-09-20 07:00:00,1.06791,1.06808,1.06778,1.06782,823
2023-09-20 08:00:00,1.06782,1.06836,1.0678,1.06805,1599
2023-09-20 09:00:00,1.06804,1.06925,1.06727,1.06814,6575
2023-09-20 10:00:00,1.06815,1.06926,1.06749,1.06901,6344
2023-09-20 11:00:00,1.06901,1.06965,1.06893,1.06958,4231
2023-09-20 12:00:00,1.06959,1.06995,1.06928,1.06982,3468
